image_path,product_id,category,mask_path
dummy_images/CHANEL/备分/CHANEL CHOKER ABE914/附图/ABE-1.jpg,112,Jewelry,dummy_images/CHANEL/2.22/CHANEL CHOKER ABE914/附图/ABE-1.jpg
dummy_images/CHANEL/备分/CHANEL CHOKER ABE914/附图/ABE-2.jpg,112,Jewelry,dummy_images/CHANEL/2.22/CHANEL CHOKER ABE914/附图/ABE-2.jpg
dummy_images/CHANEL/备分/CHANEL CHOKER ABE914/附图/ABE-3.jpg,112,Jewelry,dummy_images/CHANEL/2.22/CHANEL CHOKER ABE914/附图/ABE-3.jpg
dummy_images/CHANEL/备分/CHANEL LONG PENDANT NECKLACE ABF041/附图/ABB-1.jpg,113,Jewelry,dummy_images/CHANEL/2.22/CHANEL LONG PENDANT NECKLACE ABF041/附图/ABB-1.jpg
dummy_images/CHANEL/备分/CHANEL LONG PENDANT NECKLACE ABF041/附图/ABB-2.jpg,113,Jewelry,dummy_images/CHANEL/2.22/CHANEL LONG PENDANT NECKLACE ABF041/附图/ABB-2.jpg
dummy_images/CHANEL/备分/CHANEL LONG PENDANT NECKLACE ABF041/附图/ABB-3.jpg,113,Jewelry,dummy_images/CHANEL/2.22/CHANEL LONG PENDANT NECKLACE ABF041/附图/ABB-3.jpg
dummy_images/CHANEL/包包/备份/20250605/2115 CHANEL CAVIAR SMALL QUILTED COCO HANDLE FLAP A92991 B05068 NB356 (29x18x12cm)/附图/2115-1.jpg,114,Bag,dummy_images/CHANEL/包包/翻新/20250605/2115 CHANEL CAVIAR SMALL QUILTED COCO HANDLE FLAP A92991 B05068 NB356 (29x18x12cm)/附图/2115-1.jpg
dummy_images/CHANEL/包包/备份/20250605/2115 CHANEL CAVIAR SMALL QUILTED COCO HANDLE FLAP A92991 B05068 NB356 (29x18x12cm)/附图/2115-2.jpg,114,Bag,dummy_images/CHANEL/包包/翻新/20250605/2115 CHANEL CAVIAR SMALL QUILTED COCO HANDLE FLAP A92991 B05068 NB356 (29x18x12cm)/附图/2115-2.jpg
dummy_images/CHANEL/包包/备份/20250605/2115 CHANEL CAVIAR SMALL QUILTED COCO HANDLE FLAP A92991 B05068 NB356 (29x18x12cm)/附图/2115-3.jpg,114,Bag,dummy_images/CHANEL/包包/翻新/20250605/2115 CHANEL CAVIAR SMALL QUILTED COCO HANDLE FLAP A92991 B05068 NB356 (29x18x12cm)/附图/2115-3.jpg
dummy_images/CHANEL/包包/备份/20250605/2115 CHANEL CAVIAR SMALL QUILTED COCO HANDLE FLAP A92991 B05068 NB356 (29x18x12cm)/附图/2115-4.jpg,114,Bag,dummy_images/CHANEL/包包/翻新/20250605/2115 CHANEL CAVIAR SMALL QUILTED COCO HANDLE FLAP A92991 B05068 NB356 (29x18x12cm)/附图/2115-4.jpg
dummy_images/CHANEL/包包/备份/20250605/9230 CHANEL CAVIAR SMALL QUILTED BOY FLAP BLACK A67085 Y83338 94305 (20x12x8cm)/附图/A67085 Y83338 94305-1.jpg,115,Bag,dummy_images/CHANEL/包包/翻新/20250605/9236 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP BLACK A67086 Y83338 94305 (25x15x8cm)/附图/A67086 Y83338 94305-1.jpg
dummy_images/CHANEL/包包/备份/20250605/9230 CHANEL CAVIAR SMALL QUILTED BOY FLAP BLACK A67085 Y83338 94305 (20x12x8cm)/附图/A67085 Y83338 94305-2.jpg,115,Bag,dummy_images/CHANEL/包包/翻新/20250605/9236 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP BLACK A67086 Y83338 94305 (25x15x8cm)/附图/A67086 Y83338 94305-2.jpg
dummy_images/CHANEL/包包/备份/20250605/9230 CHANEL CAVIAR SMALL QUILTED BOY FLAP BLACK A67085 Y83338 94305 (20x12x8cm)/附图/A67085 Y83338 94305-3.jpg,115,Bag,dummy_images/CHANEL/包包/翻新/20250605/9236 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP BLACK A67086 Y83338 94305 (25x15x8cm)/附图/A67086 Y83338 94305-3.jpg
dummy_images/CHANEL/包包/备份/20250605/9230 CHANEL CAVIAR SMALL QUILTED BOY FLAP BLACK A67085 Y83338 94305 (20x12x8cm)/附图/A67085 Y83338 94305-4.jpg,115,Bag,dummy_images/CHANEL/包包/翻新/20250605/9236 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP BLACK A67086 Y83338 94305 (25x15x8cm)/附图/A67086 Y83338 94305-4.jpg
dummy_images/CHANEL/包包/备份/20250605/9288 CHANEL CAVIAR QUILTED BOY CLUTCH WITH CHAIN BLACK AP2205 B06200 94305 (15x10x3.5cm)/附图/AP2205 B06200 94305-1.jpg,116,Bag,dummy_images/CHANEL/包包/翻新/20250605/9288 CHANEL CAVIAR QUILTED BOY CLUTCH WITH CHAIN BLACK AP2205 B06200 94305 (15x10x3.5cm)/附图/AP2205 B06200 94305-1.jpg
dummy_images/CHANEL/包包/备份/20250605/9288 CHANEL CAVIAR QUILTED BOY CLUTCH WITH CHAIN BLACK AP2205 B06200 94305 (15x10x3.5cm)/附图/AP2205 B06200 94305-2.jpg,116,Bag,dummy_images/CHANEL/包包/翻新/20250605/9288 CHANEL CAVIAR QUILTED BOY CLUTCH WITH CHAIN BLACK AP2205 B06200 94305 (15x10x3.5cm)/附图/AP2205 B06200 94305-2.jpg
dummy_images/CHANEL/包包/备份/20250605/9288 CHANEL CAVIAR QUILTED BOY CLUTCH WITH CHAIN BLACK AP2205 B06200 94305 (15x10x3.5cm)/附图/AP2205 B06200 94305-4.jpg,116,Bag,dummy_images/CHANEL/包包/翻新/20250605/9288 CHANEL CAVIAR QUILTED BOY CLUTCH WITH CHAIN BLACK AP2205 B06200 94305 (15x10x3.5cm)/附图/AP2205 B06200 94305-4.jpg
dummy_images/CHANEL/包包/备份/20250605/9288 CHANEL CAVIAR QUILTED BOY CLUTCH WITH CHAIN BLACK AP2205 B06200 94305 (15x10x3.5cm)/附图/AP2205 B06200 94305-5.jpg,116,Bag,dummy_images/CHANEL/包包/翻新/20250605/9288 CHANEL CAVIAR QUILTED BOY CLUTCH WITH CHAIN BLACK AP2205 B06200 94305 (15x10x3.5cm)/附图/AP2205 B06200 94305-5.jpg
dummy_images/CHANEL/包包/备份/20250605/9288 CHANEL CAVIAR QUILTED BOY CLUTCH WITH CHAIN BLACK AP2205 B06200 94305 (15x10x3.5cm)/附图/AP2205 B06200 94305-3.jpg,116,Bag,dummy_images/CHANEL/包包/翻新/20250605/9288 CHANEL CAVIAR QUILTED BOY CLUTCH WITH CHAIN BLACK AP2205 B06200 94305 (15x10x3.5cm)/附图/AP2205 B06200 94305-3.jpg
dummy_images/CHANEL/包包/备份/20250605/9385 CHANEL CAVIAR CHEVRON MEDIUM QUILTED BOY FLAP BROWN A67086 (25x15x6cm)/附图/A67086-2-1-1.jpg,117,Bag,dummy_images/CHANEL/包包/翻新/20250605/9385 CHANEL CAVIAR CHEVRON MEDIUM QUILTED BOY FLAP BROWN A67086 (25x15x6cm)/附图/A67086-2-1-1.jpg
dummy_images/CHANEL/包包/备份/20250605/9385 CHANEL CAVIAR CHEVRON MEDIUM QUILTED BOY FLAP BROWN A67086 (25x15x6cm)/附图/A67086-2-2.jpg,117,Bag,dummy_images/CHANEL/包包/翻新/20250605/9385 CHANEL CAVIAR CHEVRON MEDIUM QUILTED BOY FLAP BROWN A67086 (25x15x6cm)/附图/A67086-2-2.jpg
dummy_images/CHANEL/包包/备份/20250605/9385 CHANEL CAVIAR CHEVRON MEDIUM QUILTED BOY FLAP BROWN A67086 (25x15x6cm)/附图/A67086-2-3.jpg,117,Bag,dummy_images/CHANEL/包包/翻新/20250605/9385 CHANEL CAVIAR CHEVRON MEDIUM QUILTED BOY FLAP BROWN A67086 (25x15x6cm)/附图/A67086-2-3.jpg
dummy_images/CHANEL/包包/备份/20250605/9385 CHANEL CAVIAR CHEVRON MEDIUM QUILTED BOY FLAP BROWN A67086 (25x15x6cm)/附图/A67086-2-4.jpg,117,Bag,dummy_images/CHANEL/包包/翻新/20250605/9385 CHANEL CAVIAR CHEVRON MEDIUM QUILTED BOY FLAP BROWN A67086 (25x15x6cm)/附图/A67086-2-4.jpg
dummy_images/CHANEL/包包/备份/20250605/9385 CHANEL CAVIAR CHEVRON MEDIUM QUILTED BOY FLAP BROWN A67086 (25x15x6cm)/附图/A67086-2-5.jpg,117,Bag,dummy_images/CHANEL/包包/翻新/20250605/9385 CHANEL CAVIAR CHEVRON MEDIUM QUILTED BOY FLAP BROWN A67086 (25x15x6cm)/附图/A67086-2-5.jpg
dummy_images/CHANEL/包包/备份/20250605/9467 CHANEL QUILTED LAMBSKIN MEDIUM BOY BAG A67086 (25x15x8cm)/附图/A67086-1.jpg,118,Bag,dummy_images/CHANEL/包包/翻新/20250605/9467 CHANEL QUILTED LAMBSKIN MEDIUM BOY BAG A67086 (25x15x8cm)/附图/A67086-1.jpg
dummy_images/CHANEL/包包/备份/20250605/9467 CHANEL QUILTED LAMBSKIN MEDIUM BOY BAG A67086 (25x15x8cm)/附图/A67086-2.jpg,118,Bag,dummy_images/CHANEL/包包/翻新/20250605/9467 CHANEL QUILTED LAMBSKIN MEDIUM BOY BAG A67086 (25x15x8cm)/附图/A67086-2.jpg
dummy_images/CHANEL/包包/备份/20250605/9467 CHANEL QUILTED LAMBSKIN MEDIUM BOY BAG A67086 (25x15x8cm)/附图/A67086-3.jpg,118,Bag,dummy_images/CHANEL/包包/翻新/20250605/9467 CHANEL QUILTED LAMBSKIN MEDIUM BOY BAG A67086 (25x15x8cm)/附图/A67086-3.jpg
dummy_images/CHANEL/包包/备份/20250605/9467 CHANEL QUILTED LAMBSKIN MEDIUM BOY BAG A67086 (25x15x8cm)/附图/A67086-4.jpg,118,Bag,dummy_images/CHANEL/包包/翻新/20250605/9467 CHANEL QUILTED LAMBSKIN MEDIUM BOY BAG A67086 (25x15x8cm)/附图/A67086-4.jpg
dummy_images/CHANEL/包包/备份/20250605/9580 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP PINK 951894 (25x15x8cm)/附图/951894-1.jpg,119,Bag,dummy_images/CHANEL/包包/翻新/20250605/9580 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP PINK 951894 (25x15x8cm)/附图/951894-1.jpg
dummy_images/CHANEL/包包/备份/20250605/9580 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP PINK 951894 (25x15x8cm)/附图/951894-2.jpg,119,Bag,dummy_images/CHANEL/包包/翻新/20250605/9580 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP PINK 951894 (25x15x8cm)/附图/951894-2.jpg
dummy_images/CHANEL/包包/备份/20250605/9580 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP PINK 951894 (25x15x8cm)/附图/951894-3.jpg,119,Bag,dummy_images/CHANEL/包包/翻新/20250605/9580 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP PINK 951894 (25x15x8cm)/附图/951894-3.jpg
dummy_images/CHANEL/包包/备份/20250605/9580 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP PINK 951894 (25x15x8cm)/附图/951894-4.jpg,119,Bag,dummy_images/CHANEL/包包/翻新/20250605/9580 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP PINK 951894 (25x15x8cm)/附图/951894-4.jpg
dummy_images/CHANEL/包包/备份/20250605/9580 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP PINK 951894 (25x15x8cm)/附图/951894-5.jpg,119,Bag,dummy_images/CHANEL/包包/翻新/20250605/9580 CHANEL CAVIAR MEDIUM QUILTED BOY FLAP PINK 951894 (25x15x8cm)/附图/951894-5.jpg
dummy_images/CHANEL/包包/备份/20250605/9668 CHANEL CAVIAR MEDIUM QUILTED BOY BLACK A67086 B08358 94305 (25x15x8cm)/附图/A67086 B08358 94305-1.jpg,120,Bag,dummy_images/CHANEL/包包/翻新/20250605/9668 CHANEL CAVIAR MEDIUM QUILTED BOY BLACK A67086 B08358 94305 (25x15x8cm)/附图/A67086 B08358 94305-1.jpg
dummy_images/CHANEL/包包/备份/20250605/9668 CHANEL CAVIAR MEDIUM QUILTED BOY BLACK A67086 B08358 94305 (25x15x8cm)/附图/A67086 B08358 94305-2.jpg,120,Bag,dummy_images/CHANEL/包包/翻新/20250605/9668 CHANEL CAVIAR MEDIUM QUILTED BOY BLACK A67086 B08358 94305 (25x15x8cm)/附图/A67086 B08358 94305-2.jpg
dummy_images/CHANEL/包包/备份/20250605/9668 CHANEL CAVIAR MEDIUM QUILTED BOY BLACK A67086 B08358 94305 (25x15x8cm)/附图/A67086 B08358 94305-3.jpg,120,Bag,dummy_images/CHANEL/包包/翻新/20250605/9668 CHANEL CAVIAR MEDIUM QUILTED BOY BLACK A67086 B08358 94305 (25x15x8cm)/附图/A67086 B08358 94305-3.jpg
dummy_images/CHANEL/包包/备份/20250605/9668 CHANEL CAVIAR MEDIUM QUILTED BOY BLACK A67086 B08358 94305 (25x15x8cm)/附图/A67086 B08358 94305-4.jpg,120,Bag,dummy_images/CHANEL/包包/翻新/20250605/9668 CHANEL CAVIAR MEDIUM QUILTED BOY BLACK A67086 B08358 94305 (25x15x8cm)/附图/A67086 B08358 94305-4.jpg
dummy_images/CHANEL/包包/备份/20250605/16214 CHANEL CAVIAR QUILTED SMALL BOY FLAP WHITE A67085 B10211 10601 (20x12x8cm)/附图/A67085 B10211 10601-1.jpg,121,Bag,dummy_images/CHANEL/包包/翻新/20250605/16214 CHANEL CAVIAR QUILTED SMALL BOY FLAP WHITE A67085 B10211 10601 (20x12x8cm)/附图/A67085 B10211 10601-1.jpg
dummy_images/CHANEL/包包/备份/20250605/16214 CHANEL CAVIAR QUILTED SMALL BOY FLAP WHITE A67085 B10211 10601 (20x12x8cm)/附图/A67085 B10211 10601-2.jpg,121,Bag,dummy_images/CHANEL/包包/翻新/20250605/16214 CHANEL CAVIAR QUILTED SMALL BOY FLAP WHITE A67085 B10211 10601 (20x12x8cm)/附图/A67085 B10211 10601-2.jpg
dummy_images/CHANEL/包包/备份/20250605/16214 CHANEL CAVIAR QUILTED SMALL BOY FLAP WHITE A67085 B10211 10601 (20x12x8cm)/附图/A67085 B10211 10601-3.jpg,121,Bag,dummy_images/CHANEL/包包/翻新/20250605/16214 CHANEL CAVIAR QUILTED SMALL BOY FLAP WHITE A67085 B10211 10601 (20x12x8cm)/附图/A67085 B10211 10601-3.jpg
dummy_images/CHANEL/包包/备份/20250605/16214 CHANEL CAVIAR QUILTED SMALL BOY FLAP WHITE A67085 B10211 10601 (20x12x8cm)/附图/A67085 B10211 10601-4.jpg,121,Bag,dummy_images/CHANEL/包包/翻新/20250605/16214 CHANEL CAVIAR QUILTED SMALL BOY FLAP WHITE A67085 B10211 10601 (20x12x8cm)/附图/A67085 B10211 10601-4.jpg
dummy_images/CHANEL/包包/备份/20250605/16214 CHANEL CAVIAR QUILTED SMALL BOY FLAP WHITE A67085 B10211 10601 (20x12x8cm)/附图/A67085 B10211 10601-5.jpg,121,Bag,dummy_images/CHANEL/包包/翻新/20250605/16214 CHANEL CAVIAR QUILTED SMALL BOY FLAP WHITE A67085 B10211 10601 (20x12x8cm)/附图/A67085 B10211 10601-5.jpg
